Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Son,Social drinker,Social smoker,Pet,Body mass index,Absenteeism time in hours
20.0,5.0,2.0,3.0,191.0,28.0,20.0,43.0,295.26206611887767,96.0,0.0,4.0,0.0,0.0,0.0,30.0,10.0
3.0,11.0,6.0,1.0,285.0,54.0,6.0,35.0,300.75283694762544,90.0,0.0,2.0,0.0,0.0,0.0,24.0,10.0
22.0,11.0,4.0,3.0,196.0,37.0,20.0,26.0,259.66989948673506,80.0,0.0,2.0,1.0,0.0,0.0,21.0,41.0
25.0,4.0,6.0,4.0,94.0,34.0,10.0,32.0,315.8725622665092,86.0,0.0,4.0,1.0,0.0,1.0,35.0,1.0
21.0,4.0,4.0,3.0,273.0,26.0,9.0,28.0,228.7628842968464,81.0,0.0,2.0,1.0,0.0,4.0,29.0,4.0
13.0,9.0,5.0,3.0,185.0,11.0,10.0,36.0,278.9659641387787,82.0,0.0,3.0,1.0,1.0,2.0,22.0,0.0
21.0,6.0,2.0,4.0,247.0,36.0,12.0,46.0,270.28367472909844,93.0,0.0,4.0,1.0,0.0,0.0,23.0,4.0
28.0,8.0,3.0,4.0,274.0,39.0,12.0,42.0,263.1929034314169,99.0,1.0,3.0,1.0,0.0,0.0,22.0,7.0
19.0,7.0,3.0,1.0,266.0,21.0,4.0,47.0,282.9708970776411,95.0,0.0,2.0,1.0,0.0,2.0,26.0,2.0
27.0,2.0,5.0,3.0,219.0,26.0,14.0,40.0,290.5201552626775,99.0,0.0,2.0,0.0,0.0,0.0,31.0,5.0
14.0,9.0,5.0,3.0,265.0,33.0,13.0,32.0,266.6190077128207,90.0,0.0,4.0,1.0,0.0,0.0,26.0,15.0
18.0,5.0,6.0,2.0,150.0,41.0,7.0,32.0,263.4414181580406,95.0,0.0,2.0,0.0,0.0,0.0,28.0,9.0
7.0,12.0,6.0,4.0,50.0,20.0,7.0,34.0,281.2728996669885,91.0,0.0,1.0,1.0,0.0,0.0,32.0,5.0
12.0,12.0,2.0,3.0,314.0,50.0,16.0,46.0,250.0211822642853,85.0,0.0,0.0,1.0,0.0,0.0,21.0,11.0
17.0,3.0,3.0,1.0,234.0,46.0,21.0,31.0,247.2297455370077,99.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0
21.0,2.0,4.0,2.0,300.0,14.0,12.0,40.0,239.3084322061705,95.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0
16.0,10.0,2.0,2.0,178.0,9.0,1.0,35.0,268.7641378110338,97.0,0.0,2.0,1.0,0.0,1.0,26.0,9.0
5.0,1.0,2.0,3.0,179.0,15.0,8.0,35.0,243.3982677316076,89.0,0.0,4.0,0.0,0.0,2.0,31.0,0.0
24.0,1.0,3.0,4.0,215.0,16.0,6.0,38.0,310.1570197951225,91.0,0.0,2.0,0.0,0.0,0.0,30.0,5.0
14.0,10.0,2.0,4.0,216.0,24.0,17.0,39.0,259.971172809816,94.0,1.0,2.0,0.0,0.0,1.0,32.0,5.0
25.0,5.0,6.0,3.0,274.0,16.0,14.0,30.0,317.9212368869924,89.0,0.0,2.0,0.0,0.0,0.0,27.0,3.0
17.0,9.0,3.0,2.0,221.0,46.0,6.0,32.0,292.7107177164968,92.0,0.0,4.0,1.0,0.0,0.0,31.0,7.0
12.0,4.0,6.0,3.0,241.0,12.0,23.0,34.0,302.7067833925364,98.0,0.0,3.0,1.0,0.0,2.0,33.0,16.0
0.0,9.0,5.0,1.0,298.0,24.0,6.0,32.0,299.2066395347877,100.0,1.0,3.0,1.0,0.0,0.0,24.0,4.0
17.0,8.0,2.0,2.0,252.0,14.0,7.0,28.0,270.4114634757382,99.0,0.0,4.0,1.0,0.0,0.0,36.0,1.0
4.0,1.0,5.0,1.0,158.0,29.0,11.0,40.0,212.96027802005756,94.0,0.0,1.0,1.0,0.0,1.0,18.0,2.0
0.0,8.0,3.0,4.0,342.0,51.0,19.0,41.0,254.8754837221904,90.0,0.0,4.0,1.0,0.0,0.0,22.0,3.0
6.0,9.0,4.0,2.0,157.0,34.0,14.0,41.0,306.7026133618719,87.0,0.0,3.0,1.0,0.0,0.0,28.0,33.0
26.0,8.0,2.0,4.0,203.0,16.0,13.0,26.0,219.27665961702783,82.0,0.0,1.0,1.0,0.0,4.0,28.0,6.0
3.0,9.0,3.0,1.0,217.0,12.0,12.0,39.0,251.1652000518416,97.0,0.0,2.0,1.0,0.0,0.0,18.0,20.0
8.0,9.0,6.0,3.0,180.0,27.0,11.0,36.0,271.9982083602754,86.0,0.0,1.0,0.0,0.0,5.0,23.0,0.0
14.0,3.0,3.0,2.0,293.0,21.0,14.0,29.0,252.7262724568375,80.0,0.0,0.0,0.0,0.0,1.0,26.0,2.0
5.0,4.0,6.0,1.0,223.0,8.0,11.0,34.0,273.78389282932386,84.0,0.0,3.0,1.0,0.0,0.0,25.0,0.0
24.0,7.0,2.0,4.0,118.0,5.0,21.0,40.0,270.81537238554773,86.0,0.0,2.0,0.0,0.0,1.0,24.0,4.0
16.0,7.0,4.0,1.0,240.0,41.0,6.0,44.0,242.09182418384069,97.0,0.0,4.0,0.0,0.0,4.0,19.0,8.0
17.0,9.0,5.0,3.0,255.0,12.0,11.0,41.0,267.1820634648898,95.0,0.0,3.0,0.0,0.0,2.0,27.0,3.0
8.0,5.0,5.0,3.0,136.0,43.0,14.0,52.0,264.8594281652391,91.0,0.0,2.0,1.0,0.0,0.0,24.0,4.0
13.0,6.0,2.0,3.0,413.0,39.0,16.0,49.0,301.9946000028014,90.0,0.0,4.0,0.0,0.0,1.0,28.0,1.0
2.0,1.0,2.0,4.0,144.0,29.0,9.0,33.0,264.638917309325,93.0,0.0,1.0,1.0,0.0,0.0,27.0,0.0
0.0,1.0,5.0,4.0,345.0,33.0,5.0,38.0,265.7325850410586,81.0,0.0,2.0,0.0,0.0,1.0,24.0,0.0
26.0,4.0,2.0,4.0,355.0,44.0,14.0,46.0,315.1522304400365,86.0,0.0,3.0,0.0,0.0,1.0,27.0,3.0
28.0,8.0,5.0,1.0,198.0,32.0,14.0,31.0,272.21559826755663,83.0,0.0,3.0,0.0,0.0,1.0,27.0,4.0
10.0,4.0,3.0,1.0,299.0,39.0,18.0,41.0,308.80757183270333,90.0,0.0,2.0,1.0,0.0,1.0,26.0,6.0
0.0,7.0,5.0,1.0,151.0,52.0,12.0,44.0,325.4878726448463,84.0,1.0,3.0,1.0,0.0,0.0,21.0,10.0
11.0,7.0,3.0,4.0,257.0,7.0,14.0,46.0,319.36842110723967,90.0,0.0,3.0,0.0,0.0,1.0,28.0,6.0
24.0,4.0,4.0,2.0,284.0,6.0,17.0,36.0,307.4429857210062,96.0,0.0,3.0,0.0,0.0,8.0,31.0,7.0
8.0,7.0,5.0,4.0,152.0,20.0,11.0,22.0,250.62541316490604,82.0,0.0,1.0,1.0,0.0,0.0,28.0,3.0
4.0,7.0,4.0,1.0,305.0,53.0,11.0,47.0,289.29660408866937,82.0,0.0,1.0,1.0,0.0,0.0,23.0,3.0
14.0,4.0,5.0,2.0,283.0,51.0,7.0,33.0,211.8348915583317,98.0,0.0,4.0,0.0,0.0,0.0,26.0,9.0
17.0,4.0,2.0,1.0,335.0,50.0,13.0,26.0,145.91356719729606,84.0,0.0,4.0,1.0,1.0,0.0,22.0,2.0
27.0,8.0,6.0,2.0,236.0,27.0,14.0,37.0,270.81537238554773,91.0,0.0,2.0,0.0,0.0,1.0,28.0,2.0
12.0,1.0,6.0,3.0,212.0,35.0,6.0,33.0,291.0941140652435,92.0,0.0,0.0,1.0,0.0,1.0,22.0,2.0
12.0,5.0,3.0,4.0,138.0,22.0,13.0,38.0,251.51797363135887,82.0,0.0,4.0,1.0,0.0,1.0,26.0,9.0
9.0,10.0,2.0,4.0,235.0,12.0,14.0,36.0,290.23866480383447,92.0,0.0,2.0,1.0,0.0,0.0,17.0,13.0
21.0,6.0,4.0,1.0,109.0,17.0,9.0,46.0,285.5509816520638,98.0,0.0,3.0,0.0,0.0,0.0,24.0,14.0
27.0,2.0,2.0,2.0,345.0,34.0,10.0,18.0,301.5207483421722,83.0,0.0,4.0,1.0,0.0,1.0,23.0,12.0
19.0,3.0,2.0,3.0,223.0,49.0,18.0,42.0,312.1990896898236,97.0,0.0,2.0,1.0,0.0,1.0,26.0,6.0
